freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5805,-102,44,79,382,14,10,57
5805,-102,55,80,381,11,9,58
5805,-102,47,81,380,11,10,60
5805,-102,45,79,381,11,9,58
5805,-102,54,80,380,13,9,58
5805,-102,81,80,380,12,9,59
5805,-102,127,81,380,13,9,60
5805,-102,118,80,381,13,10,60
5805,-102,128,81,380,13,10,60
5805,-102,65,78,382,13,10,57
5805,-102,77,80,381,13,8,59
5805,-102,72,80,381,12,8,58
5805,-102,55,80,380,11,9,58
5805,-102,63,80,380,12,9,59
5805,-102,60,81,380,11,9,60
5805,-102,65,79,382,13,9,57
5805,-102,43,78,383,12,10,57
5805,-102,77,79,381,11,8,57
5805,-102,115,81,380,10,9,60
5805,-102,89,80,381,12,8,58
5805,-102,93,79,381,12,10,58
5805,-102,90,80,380,12,10,58
5805,-102,83,80,381,11,9,59
5805,-102,51,79,381,13,11,58
5805,-102,75,80,380,11,11,59
5805,-102,37,79,381,14,9,58
5805,-102,41,79,382,11,9,57
5805,-102,76,80,380,14,10,58
5805,-102,85,80,381,12,8,58
5805,-102,139,81,380,11,10,60
5805,-102,114,81,380,13,12,60
5805,-102,113,81,380,13,12,61
5805,-102,96,81,380,12,10,59
5805,-102,78,79,381,13,11,58
5805,-102,79,80,381,11,11,59
5805,-102,48,81,380,11,10,59
5805,-102,60,80,381,11,11,58
5805,-102,48,81,380,12,9,58
5805,-102,79,81,380,13,10,59
5805,-102,103,81,380,12,10,59
5805,-102,89,80,381,11,10,60
5805,-102,92,79,381,12,10,57
5805,-102,95,81,380,12,11,59
5805,-102,119,81,380,12,10,61
5805,-102,77,78,383,13,9,57
5805,-102,60,81,380,10,9,59
5805,-102,33,80,380,11,10,59
5805,-102,58,81,380,13,11,59
5805,-102,88,81,380,11,9,60
5805,-102,72,80,381,13,8,57
5805,-102,87,81,380,12,9,60
5805,-102,97,80,381,14,8,59
5805,-102,98,81,380,12,9,59
5805,-102,88,81,380,11,10,60
5805,-102,75,79,382,12,8,58
5805,-102,113,81,380,12,8,59
5805,-102,50,79,381,12,11,57
5805,-102,39,81,380,12,9,59
5805,-102,59,81,380,13,8,59
5805,-102,61,80,381,11,9,58
5805,-102,47,78,382,14,8,57
5805,-102,90,80,380,13,9,57
5805,-102,94,79,382,12,9,58
5805,-102,116,79,382,12,10,58
5805,-102,103,80,380,12,12,59
5805,-102,100,80,381,13,9,58
5805,-102,77,81,380,10,11,60
5805,-102,64,81,380,13,9,59
5805,-102,52,81,380,11,10,59
5805,-102,42,81,380,11,9,59
5805,-102,62,79,382,13,12,59
5805,-102,68,79,381,13,10,58
5805,-102,59,78,383,13,12,58
5805,-102,108,81,380,12,9,59
5805,-102,95,80,381,10,9,58
5805,-102,118,81,380,14,10,61
5805,-102,100,80,380,13,10,58
5805,-102,72,79,381,13,10,58
5805,-102,62,80,380,10,10,60
5805,-102,53,81,380,13,10,60
5805,-102,45,80,380,10,8,58
5805,-102,55,81,380,12,8,59
5805,-102,78,81,380,12,9,60
5805,-102,101,78,383,14,8,57
5805,-102,109,80,380,12,10,58
5805,-102,98,80,380,12,11,60
5805,-102,106,79,381,11,11,57
5805,-102,115,80,381,12,12,60
5805,-102,97,81,380,13,8,59
5805,-102,38,81,380,11,10,58
5805,-102,57,80,380,11,8,57
5805,-102,60,81,380,10,9,58
5805,-102,42,76,384,12,7,53
5805,-102,106,81,380,12,10,59
5805,-102,93,80,380,11,11,59
5805,-102,105,81,380,12,8,58
5805,-102,97,79,381,14,8,57
5805,-102,87,81,380,12,9,59
5805,-102,103,80,381,12,8,59
5805,-102,93,80,381,11,9,58
5805,-102,70,81,380,12,10,59
5805,-102,56,81,380,11,10,60
5805,-102,55,80,381,12,10,57
5805,-102,71,81,380,13,10,60
5805,-102,60,80,380,10,11,58
5805,-102,108,81,380,12,9,59
5805,-102,101,80,381,14,11,59
5805,-102,121,80,381,13,10,59
5805,-102,65,78,382,13,9,57
5805,-102,124,81,380,12,10,60
5805,-102,103,80,380,12,10,59
5805,-102,55,78,383,13,7,57
5805,-102,25,78,382,14,10,56
5805,-102,38,81,380,9,9,59
5805,-102,64,81,380,10,10,60
5805,-102,78,81,380,11,10,59
5805,-102,72,78,382,13,9,57
5805,-102,82,78,382,13,10,57
5805,-102,97,81,380,11,11,60
5805,-102,112,80,381,12,10,59
5805,-102,89,81,380,10,11,60
5805,-102,70,81,380,12,10,60
5805,-102,58,80,380,13,8,58
5805,-102,37,79,381,13,9,57
5805,-102,37,78,383,11,8,56
5805,-102,76,81,380,12,10,59
5805,-102,69,80,380,12,11,58
5805,-102,72,77,383,12,7,55
5805,-102,127,81,380,11,6,59
5805,-102,97,79,382,13,9,58
5805,-102,81,78,383,12,9,57
5805,-102,72,79,381,11,9,58
5805,-102,94,81,380,11,9,60
5805,-102,44,79,382,11,10,59
5805,-102,34,79,381,12,9,58
5805,-102,48,80,380,12,11,59
5805,-102,56,79,382,13,7,58
5805,-102,92,81,380,11,10,58
5805,-102,97,81,380,11,9,60
5805,-102,120,81,380,12,11,60
5805,-102,97,79,381,11,12,57
5805,-102,113,81,380,11,9,59
5805,-102,81,80,381,11,8,58
5805,-102,64,80,381,12,10,59
5805,-102,69,81,380,11,8,60
5805,-102,64,81,380,10,12,60
5805,-102,63,79,381,12,9,57
5805,-102,66,81,380,12,10,59
5805,-102,63,80,380,11,12,59
5805,-102,106,81,380,10,11,60
5805,-102,119,81,380,12,11,58
5805,-102,98,79,382,12,10,58
5805,-102,111,81,380,12,11,60
5805,-102,92,81,380,10,10,59
5805,-102,100,81,380,12,11,59
5805,-102,44,79,382,11,9,57
5805,-102,66,81,380,12,11,58
5805,-102,51,81,380,10,8,57
5805,-102,63,81,380,13,8,58
5805,-102,65,80,380,12,12,57
5805,-102,106,81,380,12,9,58
5805,-102,85,77,383,12,10,58
5805,-102,84,79,382,14,11,59
5805,-102,88,80,380,12,10,58
5805,-102,77,81,380,14,9,59
5805,-102,75,80,380,13,9,58
5805,-102,46,80,380,11,8,57
5805,-102,46,80,380,12,8,58
5805,-102,36,81,380,11,12,60
5805,-102,66,81,380,12,8,58
5805,-102,76,78,382,13,9,56
5805,-102,109,80,380,11,8,58
5805,-102,117,81,380,13,8,59
5805,-102,119,81,380,12,10,59
5805,-102,83,79,382,12,10,59
5805,-102,93,80,380,13,11,59
5805,-102,65,79,381,12,8,57
5805,-102,75,81,380,11,10,59
5805,-102,46,79,381,13,7,56
5805,-102,58,81,380,11,10,58
5805,-102,50,78,382,14,9,57
5805,-102,96,81,380,13,9,60
5805,-102,99,80,381,12,7,59
5805,-102,89,78,383,13,10,58
5805,-102,103,81,380,12,11,59
5805,-102,82,79,382,11,8,56
5805,-102,76,81,380,12,11,59
5805,-102,91,81,380,13,11,59
5805,-102,56,80,381,12,9,57
5805,-102,34,81,380,11,10,59
5805,-102,25,77,383,12,10,56
5805,-102,81,81,380,11,9,60
5805,-102,97,81,380,13,10,59
5805,-102,105,81,380,10,9,59
5805,-102,113,81,380,11,9,59
5805,-102,80,78,382,12,10,58
5805,-102,111,81,380,13,8,59
5805,-102,78,79,382,11,10,59
5805,-102,61,81,380,12,7,58
5805,-102,72,81,380,12,9,59
5805,-102,36,80,380,12,11,57
5805,-102,46,81,380,12,12,59
5805,-102,72,81,380,13,9,58
5805,-102,96,80,381,13,10,58
5805,-102,110,80,380,12,10,59
